Skill Section ID,Skill Section Description,Skill Family ID,Skill Family Description,Skill Group ID,Skill Group Description,Skill ID,Skill Description
1102826,Technical Skills,1102833,Strategy & Architecture,1105226,Strategy & Architecture,1105475,Enterprise IT Governance
1102826,Technical Skills,1102833,Strategy & Architecture,1105226,Strategy & Architecture,1105476,Information Governance
1102826,Technical Skills,1102833,Strategy & Architecture,1105226,Strategy & Architecture,1105477,Information Systems Co-ordination
1102826,Technical Skills,1102833,Strategy & Architecture,1105226,Strategy & Architecture,1105488,Enterprise & Business Architecture
1102826,Technical Skills,1102833,Strategy & Architecture,1105226,Strategy & Architecture,1105491,Solution Design
1102826,Technical Skills,1102833,Strategy & Architecture,1105226,Strategy & Architecture,1105492,Emerging Technology Monitoring
1102826,Technical Skills,1102833,Strategy & Architecture,1105226,Strategy & Architecture,1105497,Methods & Tools Implementation
1102826,Technical Skills,1102833,Strategy & Architecture,1105226,Strategy & Architecture,1105511,Requirements Definition & Management
1102826,Technical Skills,1102833,Strategy & Architecture,1105226,Strategy & Architecture,1105527,IT Business Management
1102826,Technical Skills,1102833,Strategy & Architecture,1105226,Strategy & Architecture,1118600,Business Strategy Planning
1102826,Technical Skills,1102833,Strategy & Architecture,1105226,Strategy & Architecture,1120897,Technical Design
1102826,Technical Skills,1102833,Strategy & Architecture,1105226,Strategy & Architecture,1127909,IT Architecture
1102826,Technical Skills,1102833,Strategy & Architecture,1105226,Strategy & Architecture,1128365,Mendix Architecture
1102826,Technical Skills,1102847,Service Management,1102849,Service Management,1105529,Capacity Management
1102826,Technical Skills,1102847,Service Management,1102849,Service Management,1105530,Availability Management
1102826,Technical Skills,1102847,Service Management,1102849,Service Management,1105531,Service Level Management
1102826,Technical Skills,1102847,Service Management,1102849,Service Management,1105543,Problem Management
1102826,Technical Skills,1102847,Service Management,1102849,Service Management,1105544,Incident Management
1102826,Technical Skills,1102847,Service Management,1102849,Service Management,1105554,IT Asset Management
1102826,Technical Skills,1102847,Service Management,1102849,Service Management,1108438,Service Acceptance
1102826,Technical Skills,1102847,Service Management,1102849,Service Management,1112450,Change Management
1102826,Technical Skills,1102847,Service Management,1102849,Service Management,1112579,Interactive Voice Response (IVR)
1102826,Technical Skills,1102847,Service Management,1102849,Service Management,1112581,IT Services
1102826,Technical Skills,1102847,Service Management,1102849,Service Management,1112875,IT Outsourcing
1102826,Technical Skills,1102847,Service Management,1102849,Service Management,1115555,IT Offshoring
1102826,Technical Skills,1102847,Service Management,1102849,Service Management,1117075,Continuous Service Improvement (CSI)
1102826,Technical Skills,1102847,Service Management,1102849,Service Management,1117992,IT Service Integration
